holiday,temp_F,rain_mm,snow_mm,cloud_cover_%,weather_type,date_time,traffic_volume
None,71.64,0.0,0.0,1,Clear,2012-10-03 15:00:00,5692
None,71.56,0.0,0.0,1,Clear,2012-10-03 16:00:00,6137
None,68.92,0.0,0.0,20,Clouds,2012-10-03 18:00:00,4623
None,63.5,0.0,0.0,20,Clouds,2012-10-03 19:00:00,3591
None,59.07,0.0,0.0,20,Clouds,2012-10-03 20:00:00,2898
None,57.11,0.0,0.0,1,Clear,2012-10-03 21:00:00,2637
None,55.58,0.0,0.0,1,Clear,2012-10-03 22:00:00,1777
None,53.8,0.0,0.0,1,Clear,2012-10-03 23:00:00,1015
None,52.52,0.0,0.0,1,Clear,2012-10-04 00:00:00,598
None,50.58,0.0,0.0,1,Clear,2012-10-04 01:00:00,369
None,50.04,0.0,0.0,1,Clear,2012-10-04 02:00:00,312
None,48.0,0.0,0.0,1,Clear,2012-10-04 03:00:00,367
None,47.37,0.0,0.0,1,Clear,2012-10-04 04:00:00,835
None,46.71,0.0,0.0,1,Clear,2012-10-04 05:00:00,2726
None,45.66,0.0,0.0,1,Clear,2012-10-04 06:00:00,5689
None,45.36,0.0,0.0,1,Clear,2012-10-04 07:00:00,6990
None,47.68,0.0,0.0,1,Clear,2012-10-04 08:00:00,5985
None,53.29,0.0,0.0,1,Clear,2012-10-04 09:00:00,5309
None,60.85,0.0,0.0,1,Clear,2012-10-04 10:00:00,4603
None,65.12,0.0,0.0,1,Clear,2012-10-04 11:00:00,4884
None,71.28,0.0,0.0,1,Clear,2012-10-04 12:00:00,5104
None,73.81,0.0,0.0,1,Clear,2012-10-04 13:00:00,5178
None,75.51,0.0,0.0,1,Clear,2012-10-04 14:00:00,5501
None,77.04,0.0,0.0,1,Clear,2012-10-04 15:00:00,5713
None,76.84,0.0,0.0,20,Clouds,2012-10-04 16:00:00,6292
None,76.14,0.0,0.0,20,Clouds,2012-10-04 17:00:00,6057
None,73.78,0.0,0.0,40,Clouds,2012-10-04 18:00:00,4907
None,69.26,0.0,0.0,40,Clouds,2012-10-04 19:00:00,3503
None,66.7,0.0,0.0,40,Clouds,2012-10-04 20:00:00,3037
None,65.52,0.0,0.0,75,Clouds,2012-10-04 21:00:00,2822
None,64.78,0.0,0.0,75,Clouds,2012-10-04 22:00:00,1992
None,64.35,0.0,0.0,75,Clouds,2012-10-04 23:00:00,1166
None,63.46,0.0,0.0,75,Clouds,2012-10-05 00:00:00,627
None,63.16,0.0,0.0,40,Clouds,2012-10-05 01:00:00,388
None,61.0,0.0,0.0,0,Clear,2012-10-05 03:00:00,368
None,50.11,0.0,0.0,75,Clouds,2012-10-05 05:00:00,2489
None,48.36,0.0,0.0,90,Clouds,2012-10-05 06:00:00,5537
None,47.37,0.0,0.0,90,Clouds,2012-10-05 07:00:00,6628
None,45.36,0.0,0.0,90,Clouds,2012-10-05 08:00:00,5534
None,44.37,0.0,0.0,75,Clouds,2012-10-05 09:00:00,5403
None,44.53,0.0,0.0,75,Clouds,2012-10-05 10:00:00,4770
None,44.33,0.0,0.0,90,Clouds,2012-10-05 11:00:00,5217
None,45.28,0.0,0.0,90,Clouds,2012-10-05 12:00:00,5870
None,46.9,0.0,0.0,75,Clouds,2012-10-05 13:00:00,5967
None,47.53,0.0,0.0,90,Clouds,2012-10-05 14:00:00,6108
None,47.77,0.0,0.0,90,Clouds,2012-10-05 15:00:00,6128
None,47.44,0.0,0.0,90,Clouds,2012-10-05 16:00:00,6069
None,46.89,0.0,0.0,90,Clouds,2012-10-05 17:00:00,6169
None,45.9,0.0,0.0,90,Clouds,2012-10-05 18:00:00,5384
None,44.6,0.0,0.0,90,Clouds,2012-10-05 19:00:00,4063
None,43.93,0.0,0.0,90,Clouds,2012-10-05 20:00:00,3364
None,43.7,0.0,0.0,75,Clouds,2012-10-05 21:00:00,2971
None,42.93,0.0,0.0,40,Clouds,2012-10-05 22:00:00,2450
None,42.64,0.0,0.0,40,Clouds,2012-10-05 23:00:00,1832
None,42.19,0.0,0.0,90,Clouds,2012-10-06 00:00:00,1231
None,41.72,0.0,0.0,90,Clouds,2012-10-06 01:00:00,718
None,41.79,0.0,0.0,90,Clouds,2012-10-06 02:00:00,545
None,38.91,0.0,0.0,75,Clouds,2012-10-06 04:00:00,411
None,37.76,0.0,0.0,20,Clouds,2012-10-06 05:00:00,688
None,36.05,0.0,0.0,1,Clear,2012-10-06 06:00:00,1352
None,35.64,0.0,0.0,1,Clear,2012-10-06 07:00:00,2072
None,35.31,0.0,0.0,1,Clear,2012-10-06 08:00:00,3342
None,35.49,0.0,0.0,40,Clouds,2012-10-06 09:00:00,4258
None,38.71,0.0,0.0,20,Clouds,2012-10-06 10:00:00,4861
None,40.8,0.0,0.0,20,Clouds,2012-10-06 11:00:00,5191
None,42.67,0.0,0.0,40,Clouds,2012-10-06 12:00:00,5669
None,44.55,0.0,0.0,75,Clouds,2012-10-06 13:00:00,5074
None,44.78,0.0,0.0,75,Clouds,2012-10-06 14:00:00,5025
None,44.33,0.0,0.0,75,Clouds,2012-10-06 15:00:00,5153
None,42.64,0.0,0.0,90,Clouds,2012-10-06 16:00:00,5024
None,42.37,0.0,0.0,90,Clouds,2012-10-06 17:00:00,4779
None,41.43,0.0,0.0,90,Clouds,2012-10-06 18:00:00,4362
None,41.02,0.0,0.0,90,Clouds,2012-10-06 19:00:00,3860
None,41.02,0.0,0.0,90,Clouds,2012-10-06 20:00:00,3160
None,40.6,0.0,0.0,90,Clouds,2012-10-06 21:00:00,2992
None,38.75,0.0,0.0,90,Clouds,2012-10-06 22:00:00,3202
None,37.74,0.0,0.0,75,Clouds,2012-10-06 23:00:00,1941
None,37.33,0.0,0.0,75,Clouds,2012-10-07 00:00:00,1233
None,36.64,0.0,0.0,90,Clouds,2012-10-07 03:00:00,323
None,36.5,0.0,0.0,90,Clouds,2012-10-07 04:00:00,312
None,36.25,0.0,0.0,75,Clouds,2012-10-07 05:00:00,627
None,35.42,0.0,0.0,90,Clouds,2012-10-07 06:00:00,1508
None,34.92,0.0,0.0,90,Clouds,2012-10-07 07:00:00,1539
None,34.92,0.0,0.0,75,Clouds,2012-10-07 08:00:00,2232
None,36.32,0.0,0.0,75,Clouds,2012-10-07 09:00:00,4568
None,37.56,0.0,0.0,75,Clouds,2012-10-07 10:00:00,4624
None,38.95,0.0,0.0,90,Clouds,2012-10-07 11:00:00,4529
None,39.7,0.0,0.0,90,Clouds,2012-10-07 12:00:00,5139
None,41.54,0.0,0.0,90,Clouds,2012-10-07 13:00:00,6640
None,43.02,0.0,0.0,90,Clouds,2012-10-07 14:00:00,6589
None,43.02,0.0,0.0,90,Clouds,2012-10-07 15:00:00,4429
None,43.32,0.0,0.0,90,Clouds,2012-10-07 16:00:00,4329
None,43.11,0.0,0.0,90,Clouds,2012-10-07 17:00:00,3833
None,43.02,0.0,0.0,90,Clouds,2012-10-07 18:00:00,4015
None,40.93,0.0,0.0,90,Clouds,2012-10-07 19:00:00,3382
None,38.55,0.0,0.0,75,Clouds,2012-10-07 20:00:00,2815
None,36.64,0.0,0.0,90,Clouds,2012-10-07 21:00:00,2110
None,35.11,0.0,0.0,75,Clouds,2012-10-07 22:00:00,1555
None,33.39,0.0,0.0,20,Clouds,2012-10-07 23:00:00,959
Columbus Day,31.87,0.0,0.0,20,Clouds,2012-10-08 00:00:00,455
None,31.05,0.0,0.0,20,Clouds,2012-10-08 01:00:00,336
None,29.53,0.0,0.0,1,Clear,2012-10-08 02:00:00,265
None,28.22,0.0,0.0,1,Clear,2012-10-08 03:00:00,314
None,27.46,0.0,0.0,1,Clear,2012-10-08 04:00:00,779
None,26.92,0.0,0.0,1,Clear,2012-10-08 05:00:00,2571
None,25.63,0.0,0.0,20,Clouds,2012-10-08 06:00:00,5563
None,26.35,0.0,0.0,20,Clouds,2012-10-08 07:00:00,6676
None,28.54,0.0,0.0,20,Clouds,2012-10-08 08:00:00,5966
None,33.01,0.0,0.0,20,Clouds,2012-10-08 09:00:00,4832
None,38.52,0.0,0.0,20,Clouds,2012-10-08 10:00:00,4395
None,43.38,0.0,0.0,20,Clouds,2012-10-08 11:00:00,4411
None,44.04,0.0,0.0,1,Clear,2012-10-08 12:00:00,4648
None,48.54,0.0,0.0,40,Clouds,2012-10-08 13:00:00,4602
None,49.62,0.0,0.0,40,Clouds,2012-10-08 14:00:00,5125
None,50.59,0.0,0.0,1,Clear,2012-10-08 15:00:00,5502
None,52.12,0.0,0.0,1,Clear,2012-10-08 16:00:00,5979
None,52.39,0.0,0.0,40,Clouds,2012-10-08 17:00:00,5663
None,51.94,0.0,0.0,40,Clouds,2012-10-08 18:00:00,4259
None,47.91,0.0,0.0,20,Clouds,2012-10-08 19:00:00,3069
None,43.99,0.0,0.0,1,Clear,2012-10-08 20:00:00,2378
None,43.16,0.0,0.0,1,Clear,2012-10-08 21:00:00,2030
None,42.35,0.0,0.0,1,Clear,2012-10-08 22:00:00,1400
None,41.56,0.0,0.0,1,Clear,2012-10-08 23:00:00,917
None,40.33,0.0,0.0,1,Clear,2012-10-09 00:00:00,515
None,39.42,0.0,0.0,1,Clear,2012-10-09 01:00:00,302
None,39.78,0.0,0.0,1,Clear,2012-10-09 02:00:00,251
None,38.88,0.0,0.0,20,Clouds,2012-10-09 04:00:00,798
None,38.07,0.0,0.0,40,Clouds,2012-10-09 05:00:00,2678
None,38.21,0.0,0.0,40,Clouds,2012-10-09 06:00:00,5733
None,39.49,0.0,0.0,75,Clouds,2012-10-09 07:00:00,6449
None,41.41,0.0,0.0,90,Clouds,2012-10-09 08:00:00,5765
None,43.16,0.0,0.0,90,Clouds,2012-10-09 09:00:00,5599
None,46.8,0.0,0.0,90,Clouds,2012-10-09 10:00:00,4534
None,49.93,0.0,0.0,90,Clouds,2012-10-09 11:00:00,4691
None,51.67,0.0,0.0,75,Clouds,2012-10-09 12:00:00,5067
None,53.58,0.0,0.0,75,Clouds,2012-10-09 13:00:00,5030
None,55.76,0.0,0.0,90,Clouds,2012-10-09 14:00:00,5300
None,57.34,0.0,0.0,100,Rain,2012-10-09 15:00:00,5777
None,59.68,0.0,0.0,90,Clouds,2012-10-09 16:00:00,6349
None,63.0,0.0,0.0,90,Clouds,2012-10-09 17:00:00,6127
None,62.56,0.0,0.0,90,Clouds,2012-10-09 18:00:00,4460
None,60.28,0.0,0.0,75,Clouds,2012-10-09 19:00:00,3418
None,57.58,0.0,0.0,90,Clouds,2012-10-09 20:00:00,2775
None,53.53,0.0,0.0,90,Clouds,2012-10-09 21:00:00,2306
None,50.56,0.0,0.0,90,Clouds,2012-10-09 22:00:00,1846
None,48.74,0.0,0.0,90,Clouds,2012-10-09 23:00:00,947
None,47.71,0.0,0.0,90,Clouds,2012-10-10 00:00:00,494
None,47.53,0.0,0.0,90,Clouds,2012-10-10 01:00:00,332
None,46.29,0.0,0.0,75,Clouds,2012-10-10 02:00:00,261
None,46.44,0.0,0.0,90,Clouds,2012-10-10 03:00:00,361
None,46.58,0.0,0.0,92,Clear,2012-10-10 06:00:00,5875
None,46.58,0.0,0.0,99,Rain,2012-10-10 07:00:00,6793
None,46.58,0.0,0.0,99,Drizzle,2012-10-10 07:00:00,6793
None,44.51,0.0,0.0,99,Rain,2012-10-10 08:00:00,6283
None,44.51,0.0,0.0,99,Drizzle,2012-10-10 08:00:00,6283
None,43.63,0.0,0.0,99,Rain,2012-10-10 09:00:00,5680
None,43.63,0.0,0.0,99,Drizzle,2012-10-10 09:00:00,5680
None,43.74,0.0,0.0,99,Clear,2012-10-10 10:00:00,4632
None,44.67,0.0,0.0,1,Clear,2012-10-10 11:00:00,4887
None,48.09,0.0,0.0,75,Clouds,2012-10-10 12:00:00,5030
None,48.4,0.0,0.0,75,Clouds,2012-10-10 13:00:00,5067
None,48.02,0.0,0.0,90,Clouds,2012-10-10 14:00:00,5227
None,47.19,0.0,0.0,90,Clouds,2012-10-10 15:00:00,5610
None,46.54,0.0,0.0,81,Clear,2012-10-10 16:00:00,6286
None,49.01,0.0,0.0,81,Clear,2012-10-10 18:00:00,4775
None,49.01,0.0,0.0,81,Clear,2012-10-10 19:00:00,3340
None,49.01,0.0,0.0,81,Clear,2012-10-10 20:00:00,3013
None,49.01,0.0,0.0,81,Clear,2012-10-10 21:00:00,2603
None,49.01,0.0,0.0,81,Clear,2012-10-10 22:00:00,1910
None,49.01,0.0,0.0,81,Clear,2012-10-10 23:00:00,1037
None,33.35,0.0,0.0,1,Clear,2012-10-11 01:00:00,347
None,34.25,0.0,0.0,75,Clouds,2012-10-11 03:00:00,350
None,33.62,0.0,0.0,75,Clouds,2012-10-11 04:00:00,850
None,33.01,0.0,0.0,40,Clouds,2012-10-11 05:00:00,2791
None,31.12,0.0,0.0,1,Clear,2012-10-11 06:00:00,5809
None,31.1,0.0,0.0,1,Clear,2012-10-11 07:00:00,6798
None,30.87,0.0,0.0,1,Clear,2012-10-11 08:00:00,6304
None,35.67,0.0,0.0,20,Clouds,2012-10-11 09:00:00,5291
None,35.94,0.0,0.0,1,Clear,2012-10-11 10:00:00,4638
None,51.71,0.0,0.0,50,Clear,2012-10-11 14:00:00,5557
None,51.71,0.0,0.0,50,Clear,2012-10-11 15:00:00,5818
None,51.13,0.0,0.0,75,Clouds,2012-10-11 16:00:00,6272
None,50.67,0.0,0.0,75,Clouds,2012-10-11 17:00:00,5944
None,50.31,0.0,0.0,90,Clouds,2012-10-11 18:00:00,4949
None,48.04,0.0,0.0,90,Clouds,2012-10-11 19:00:00,3511
None,47.84,0.0,0.0,90,Clouds,2012-10-11 20:00:00,3039
None,47.59,0.0,0.0,90,Clouds,2012-10-11 21:00:00,2679
None,48.22,0.0,0.0,90,Clouds,2012-10-11 22:00:00,2094
None,48.88,0.0,0.0,90,Clouds,2012-10-11 23:00:00,1284
None,51.37,0.0,0.0,90,Clouds,2012-10-12 00:00:00,630
None,52.68,0.0,0.0,90,Clouds,2012-10-12 01:00:00,410
None,52.63,0.0,0.0,90,Clouds,2012-10-12 02:00:00,331
None,50.05,0.0,0.0,72,Drizzle,2012-10-12 03:00:00,372
None,48.4,0.0,0.0,72,Rain,2012-10-12 04:00:00,739
None,45.72,0.0,0.0,72,Drizzle,2012-10-12 05:00:00,2561
None,41.68,0.0,0.0,75,Clouds,2012-10-12 06:00:00,5586
None,40.08,0.0,0.0,75,Clouds,2012-10-12 07:00:00,6992
None,40.55,0.0,0.0,90,Clouds,2012-10-12 08:00:00,5860
None,41.05,0.0,0.0,90,Clouds,2012-10-12 09:00:00,5230
None,43.05,0.0,0.0,75,Clouds,2012-10-12 10:00:00,4864
None,45.14,0.0,0.0,75,Clouds,2012-10-12 11:00:00,5146
None,46.04,0.0,0.0,40,Clouds,2012-10-12 12:00:00,5526
None,47.46,0.0,0.0,40,Clouds,2012-10-12 13:00:00,5383
None,47.64,0.0,0.0,75,Clouds,2012-10-12 14:00:00,5758
None,48.74,0.0,0.0,75,Clouds,2012-10-12 15:00:00,5889
None,48.29,0.0,0.0,75,Clouds,2012-10-12 16:00:00,6057
None,47.1,0.0,0.0,40,Clouds,2012-10-12 17:00:00,6028
None,44.71,0.0,0.0,20,Clouds,2012-10-12 18:00:00,5257
None,48.29,0.0,0.0,56,Clear,2012-10-12 23:00:00,1897
None,30.97,0.0,0.0,1,Clear,2012-10-13 00:00:00,1335
None,30.04,0.0,0.0,1,Clear,2012-10-13 01:00:00,769
None,28.11,0.0,0.0,1,Clear,2012-10-13 02:00:00,570
None,26.85,0.0,0.0,20,Clouds,2012-10-13 03:00:00,413
None,25.39,0.0,0.0,1,Clear,2012-10-13 04:00:00,399
None,25.02,0.0,0.0,1,Clear,2012-10-13 05:00:00,740
None,24.37,0.0,0.0,1,Clear,2012-10-13 06:00:00,1420
None,24.49,0.0,0.0,75,Clouds,2012-10-13 07:00:00,2220
None,24.94,0.0,0.0,40,Clouds,2012-10-13 08:00:00,3479
None,31.03,0.0,0.0,40,Clouds,2012-10-13 09:00:00,4546
None,38.53,0.0,0.0,20,Clouds,2012-10-13 10:00:00,4579
None,42.93,0.0,0.0,1,Clear,2012-10-13 11:00:00,4438
None,44.96,0.0,0.0,1,Clear,2012-10-13 12:00:00,4623
None,47.59,0.0,0.0,1,Clear,2012-10-13 13:00:00,4440
None,49.82,0.0,0.0,1,Clear,2012-10-13 14:00:00,4495
None,51.46,0.0,0.0,1,Clear,2012-10-13 15:00:00,4483
None,52.48,0.0,0.0,1,Clear,2012-10-13 16:00:00,4591
None,52.32,0.0,0.0,1,Clear,2012-10-13 17:00:00,4477
None,50.88,0.0,0.0,1,Clear,2012-10-13 18:00:00,4221
None,47.66,0.0,0.0,20,Clouds,2012-10-13 19:00:00,3672
None,46.81,0.0,0.0,1,Clear,2012-10-13 20:00:00,3015
None,47.64,0.0,0.0,75,Clouds,2012-10-13 21:00:00,2769
None,48.34,0.0,0.0,90,Clouds,2012-10-13 22:00:00,2875
None,48.25,0.0,0.0,90,Clouds,2012-10-13 23:00:00,1931
None,48.81,0.0,0.0,90,Clouds,2012-10-14 00:00:00,1309
None,48.9,0.0,0.0,90,Clouds,2012-10-14 01:00:00,870
None,48.97,0.0,0.0,90,Clouds,2012-10-14 02:00:00,654
None,48.34,0.0,0.0,90,Clouds,2012-10-14 03:00:00,364
None,48.07,0.0,0.0,90,Clouds,2012-10-14 04:00:00,262
None,48.34,0.0,0.0,90,Clouds,2012-10-14 05:00:00,505
None,48.36,0.0,0.0,90,Clouds,2012-10-14 06:00:00,861
None,48.36,0.0,0.0,90,Clouds,2012-10-14 07:00:00,1132
None,48.36,0.0,0.0,57,Mist,2012-10-14 08:00:00,1797
None,48.7,0.0,0.0,57,Drizzle,2012-10-14 09:00:00,2685
None,48.7,0.0,0.0,57,Mist,2012-10-14 09:00:00,2685
None,48.7,0.0,0.0,57,Haze,2012-10-14 09:00:00,2685
None,48.52,0.0,0.0,57,Drizzle,2012-10-14 10:00:00,3370
None,48.52,0.0,0.0,57,Mist,2012-10-14 10:00:00,3370
None,49.41,0.0,0.0,57,Drizzle,2012-10-14 11:00:00,3662
None,49.41,0.0,0.0,57,Mist,2012-10-14 11:00:00,3662
None,50.32,0.0,0.0,57,Mist,2012-10-14 12:00:00,4076
None,50.32,0.0,0.0,57,Rain,2012-10-14 12:00:00,4076
None,50.32,0.0,0.0,57,Drizzle,2012-10-14 12:00:00,4076
None,51.08,0.0,0.0,93,Rain,2012-10-14 13:00:00,4128
None,51.08,0.0,0.0,93,Mist,2012-10-14 13:00:00,4128
None,51.08,0.0,0.0,93,Drizzle,2012-10-14 13:00:00,4128
None,51.69,0.0,0.0,93,Mist,2012-10-14 14:00:00,4358
None,51.69,0.0,0.0,93,Rain,2012-10-14 14:00:00,4358
None,51.69,0.0,0.0,93,Drizzle,2012-10-14 14:00:00,4358
None,52.52,0.0,0.0,93,Mist,2012-10-14 15:00:00,4342
None,52.52,0.0,0.0,93,Rain,2012-10-14 15:00:00,4342
None,52.75,0.0,0.0,93,Mist,2012-10-14 16:00:00,4234
None,52.68,0.0,0.0,93,Rain,2012-10-14 17:00:00,4271
None,52.68,0.0,0.0,93,Mist,2012-10-14 17:00:00,4271
None,52.25,0.0,0.0,93,Mist,2012-10-14 18:00:00,4080
None,51.84,0.0,0.0,93,Mist,2012-10-14 19:00:00,3453
None,51.58,0.0,0.0,93,Mist,2012-10-14 20:00:00,2718
None,50.77,0.0,0.0,93,Mist,2012-10-14 21:00:00,2439
None,49.8,0.0,0.0,93,Mist,2012-10-14 22:00:00,1819
None,47.84,0.0,0.0,93,Mist,2012-10-14 23:00:00,1002
None,47.84,0.0,0.0,93,Fog,2012-10-14 23:00:00,1002
None,47.23,0.0,0.0,93,Mist,2012-10-15 00:00:00,542
None,47.23,0.0,0.0,93,Fog,2012-10-15 00:00:00,542
None,47.16,0.0,0.0,85,Fog,2012-10-15 01:00:00,303
None,46.89,0.0,0.0,85,Fog,2012-10-15 02:00:00,239
None,46.65,0.0,0.0,85,Mist,2012-10-15 03:00:00,335
None,46.65,0.0,0.0,85,Fog,2012-10-15 03:00:00,335
None,46.17,0.0,0.0,85,Mist,2012-10-15 04:00:00,810
None,46.17,0.0,0.0,85,Fog,2012-10-15 04:00:00,810
None,45.81,0.0,0.0,85,Mist,2012-10-15 05:00:00,2606
None,45.81,0.0,0.0,85,Fog,2012-10-15 05:00:00,2606
None,45.03,0.0,0.0,85,Mist,2012-10-15 06:00:00,5714
None,44.67,0.0,0.0,100,Mist,2012-10-15 07:00:00,6798
None,44.01,0.0,0.0,100,Mist,2012-10-15 08:00:00,6114
None,43.88,0.0,0.0,100,Mist,2012-10-15 09:00:00,5094
None,44.46,0.0,0.0,100,Mist,2012-10-15 10:00:00,4473
None,44.91,0.0,0.0,90,Clouds,2012-10-15 11:00:00,4529
None,47.43,0.0,0.0,100,Clear,2012-10-15 12:00:00,4823
None,51.55,0.0,0.0,40,Clouds,2012-10-15 13:00:00,4872
None,54.91,0.0,0.0,1,Clear,2012-10-15 14:00:00,5238
None,56.7,0.0,0.0,1,Clear,2012-10-15 15:00:00,5584
None,58.01,0.0,0.0,20,Clouds,2012-10-15 16:00:00,6246
None,57.42,0.0,0.0,20,Clouds,2012-10-15 17:00:00,5957
None,55.45,0.0,0.0,20,Clouds,2012-10-15 18:00:00,4535
None,53.69,0.0,0.0,75,Clouds,2012-10-15 19:00:00,3234
None,52.75,0.0,0.0,75,Clouds,2012-10-15 20:00:00,2677
None,52.41,0.0,0.0,90,Clouds,2012-10-15 21:00:00,2077
None,50.7,0.0,0.0,20,Clouds,2012-10-15 22:00:00,1380
None,48.52,0.0,0.0,75,Clouds,2012-10-15 23:00:00,927
None,46.51,0.0,0.0,20,Clouds,2012-10-16 00:00:00,500
None,44.1,0.0,0.0,1,Clear,2012-10-16 01:00:00,324
None,42.4,0.0,0.0,1,Clear,2012-10-16 02:00:00,257
None,40.57,0.0,0.0,1,Clear,2012-10-16 03:00:00,354
None,39.31,0.0,0.0,1,Clear,2012-10-16 04:00:00,769
None,38.23,0.0,0.0,1,Clear,2012-10-16 05:00:00,2769
None,37.33,0.0,0.0,1,Clear,2012-10-16 06:00:00,5789
None,34.99,0.0,0.0,20,Clouds,2012-10-16 07:00:00,7055
None,35.31,0.0,0.0,20,Clouds,2012-10-16 08:00:00,6408
None,40.57,0.0,0.0,20,Clouds,2012-10-16 09:00:00,5254
None,45.61,0.0,0.0,20,Clouds,2012-10-16 10:00:00,4547
None,51.26,0.0,0.0,20,Clouds,2012-10-16 11:00:00,4784
None,55.15,0.0,0.0,40,Clouds,2012-10-16 12:00:00,5015
None,55.69,0.0,0.0,1,Clear,2012-10-16 13:00:00,5057
None,59.0,0.0,0.0,75,Clouds,2012-10-16 14:00:00,5430
None,60.8,0.0,0.0,75,Clouds,2012-10-16 15:00:00,5813
None,60.51,0.0,0.0,75,Clouds,2012-10-16 16:00:00,6496
None,60.28,0.0,0.0,75,Clouds,2012-10-16 17:00:00,6429
None,59.02,0.0,0.0,90,Clouds,2012-10-16 18:00:00,5142
None,57.43,0.0,0.0,68,Rain,2012-10-16 19:00:00,3311
None,57.0,0.0,0.0,90,Clouds,2012-10-16 20:00:00,2777
None,56.75,0.0,0.0,90,Clouds,2012-10-16 21:00:00,2331
None,57.09,0.0,0.0,90,Clouds,2012-10-16 22:00:00,1767
None,57.09,0.0,0.0,90,Clouds,2012-10-16 23:00:00,1093
None,56.73,0.0,0.0,75,Clouds,2012-10-17 00:00:00,554
None,56.8,0.0,0.0,75,Clouds,2012-10-17 01:00:00,333
None,56.8,0.0,0.0,90,Clouds,2012-10-17 02:00:00,267
None,57.06,0.0,0.0,90,Clouds,2012-10-17 03:00:00,358
None,56.14,0.0,0.0,75,Clouds,2012-10-17 04:00:00,777
None,54.97,0.0,0.0,90,Clouds,2012-10-17 05:00:00,2732
None,53.85,0.0,0.0,90,Clouds,2012-10-17 06:00:00,5637
None,53.19,0.0,0.0,75,Clouds,2012-10-17 07:00:00,5564
None,53.96,0.0,0.0,75,Clouds,2012-10-17 08:00:00,6274
None,54.63,0.0,0.0,100,Rain,2012-10-17 09:00:00,5403
None,54.63,0.0,0.0,100,Rain,2012-10-17 09:00:00,5403
None,57.09,0.0,0.0,75,Clouds,2012-10-17 10:00:00,4680
None,59.29,0.0,0.0,75,Clouds,2012-10-17 11:00:00,4642
None,59.83,0.0,0.0,1,Clear,2012-10-17 12:00:00,4979
None,62.91,0.0,0.0,1,Clear,2012-10-17 13:00:00,4851
None,64.78,0.0,0.0,1,Clear,2012-10-17 14:00:00,4291
None,65.95,0.0,0.0,1,Clear,2012-10-17 15:00:00,4714
None,67.03,0.0,0.0,1,Clear,2012-10-17 16:00:00,6723
None,67.1,0.0,0.0,1,Clear,2012-10-17 17:00:00,6180
None,63.27,0.0,0.0,40,Clouds,2012-10-17 18:00:00,4843
None,59.36,0.0,0.0,40,Clouds,2012-10-17 19:00:00,3435
None,56.43,0.0,0.0,40,Clouds,2012-10-17 20:00:00,2921
None,54.21,0.0,0.0,40,Clouds,2012-10-17 21:00:00,2763
None,51.93,0.0,0.0,20,Clouds,2012-10-17 22:00:00,1930
None,51.17,0.0,0.0,20,Clouds,2012-10-17 23:00:00,1160
None,51.03,0.0,0.0,20,Clouds,2012-10-18 00:00:00,654
None,49.37,0.0,0.0,40,Clouds,2012-10-18 01:00:00,374
None,48.51,0.0,0.0,99,Mist,2012-10-18 02:00:00,301
None,48.61,0.0,0.0,99,Mist,2012-10-18 03:00:00,397
None,49.3,0.0,0.0,90,Clouds,2012-10-18 04:00:00,794
None,49.51,0.0,0.0,99,Mist,2012-10-18 05:00:00,2564
None,51.85,0.0,0.0,75,Clouds,2012-10-18 06:00:00,5358
